OBJECTID,PostalCode,TotalVaccinated,VaccinatedAge75Up,VaccinatedAge65To74,VaccinatedAge55To64,VaccinatedAge45To54,VaccinatedAge35To44,VaccinatedAge25To34,VaccinatedAge15To24,VaccinatedAge0To14,StartDate,CreateDate
1,85190,,,,,,,,,,2021/06/16 07:00:00+00,
2,85333,,,,,,,,,,2021/06/16 07:00:00+00,
3,85139,3,0,,0,0,0,,0,0,2021/06/16 07:00:00+00,
4,85343,102,17,17,16,17,16,12,,0,2021/06/16 07:00:00+00,
5,85377,2662,817,936,528,146,72,82,72,,2021/06/16 07:00:00+00,
6,85263,3164,978,1300,709,77,27,36,31,,2021/06/16 07:00:00+00,
7,85322,229,34,43,54,25,25,30,15,,2021/06/16 07:00:00+00,
8,85320,509,56,60,80,53,67,143,50,0,2021/06/16 07:00:00+00,
9,85264,700,44,109,148,106,123,89,71,10,2021/06/16 07:00:00+00,
10,85342,491,114,158,80,50,36,26,25,,2021/06/16 07:00:00+00,
11,85375,22974,11342,8268,2519,395,171,153,108,18,2021/06/16 07:00:00+00,
12,85351,22056,9794,8090,3258,465,195,174,77,,2021/06/16 07:00:00+00,
13,85337,977,105,208,182,139,140,122,71,10,2021/06/16 07:00:00+00,
14,85262,10225,1911,3426,2685,1014,369,375,384,61,2021/06/16 07:00:00+00,
15,85266,8724,2153,2588,1841,940,337,252,511,102,2021/06/16 07:00:00+00,
16,85363,2660,472,416,483,388,340,288,236,37,2021/06/16 07:00:00+00,
17,85045,5024,306,598,1139,1074,619,433,689,166,2021/06/16 07:00:00+00,
18,85361,2048,261,516,484,283,184,136,161,23,2021/06/16 07:00:00+00,
19,85390,4064,1267,1418,765,252,141,114,101,,2021/06/16 07:00:00+00,
20,85256,2246,118,260,400,335,409,376,276,72,2021/06/16 07:00:00+00,
21,85378,3916,847,1004,637,421,380,319,276,32,2021/06/16 07:00:00+00,
22,85087,3542,430,867,724,563,385,201,302,70,2021/06/16 07:00:00+00,
23,85373,11130,4310,3448,1511,625,515,349,311,61,2021/06/16 07:00:00+00,
24,85034,2332,138,316,354,316,348,555,282,23,2021/06/16 07:00:00+00,
25,85354,1958,176,397,425,342,213,184,193,28,2021/06/16 07:00:00+00,
26,85253,12139,2110,2487,2520,1636,1017,912,1207,250,2021/06/16 07:00:00+00,
27,85387,8700,2344,2700,1318,786,598,543,356,55,2021/06/16 07:00:00+00,
28,85012,6490,489,775,881,984,1319,1443,537,62,2021/06/16 07:00:00+00,
29,85355,4918,355,831,968,914,747,432,586,85,2021/06/16 07:00:00+00,
30,85268,15327,3662,4539,3371,1519,809,608,714,105,2021/06/16 07:00:00+00,
31,85215,10026,2577,2631,1933,944,686,642,507,106,2021/06/16 07:00:00+00,
32,85028,12299,1795,2358,2357,1791,1683,1161,937,217,2021/06/16 07:00:00+00,
33,85004,5680,264,467,672,681,933,1681,951,31,2021/06/16 07:00:00+00,
34,85003,5125,281,730,951,804,846,1059,409,45,2021/06/16 07:00:00+00,
35,85284,12467,1100,2268,2481,1874,1721,1343,1350,330,2021/06/16 07:00:00+00,
36,85258,17862,4077,4110,3169,2060,1695,1403,1131,217,2021/06/16 07:00:00+00,
37,85250,10547,1917,2016,1860,1251,1267,1436,644,156,2021/06/16 07:00:00+00,
38,85259,15173,2126,3144,3263,2200,1430,1158,1511,341,2021/06/16 07:00:00+00,
39,85083,9835,660,1380,1799,2121,1620,770,1182,303,2021/06/16 07:00:00+00,
40,85007,6871,478,870,1266,1074,1196,1202,698,87,2021/06/16 07:00:00+00,
41,85054,5262,489,795,823,686,745,1252,423,49,2021/06/16 07:00:00+00,
42,85307,3500,220,459,616,626,534,553,433,59,2021/06/16 07:00:00+00,
43,85331,16923,2241,3737,3863,2795,1682,910,1418,277,2021/06/16 07:00:00+00,
44,85310,9241,887,1613,2071,1498,1193,883,939,157,2021/06/16 07:00:00+00,
45,85305,7189,547,944,1242,1220,1036,1149,923,128,2021/06/16 07:00:00+00,
46,85249,26624,3330,3845,4069,5606,3925,1533,3375,941,2021/06/16 07:00:00+00,
47,85255,30676,5387,6155,6440,4762,2714,2038,2666,514,2021/06/16 07:00:00+00,
48,85050,18642,2253,2402,2874,3385,3394,1996,1818,520,2021/06/16 07:00:00+00,
49,85085,13380,800,1611,2090,2451,2799,1994,1276,359,2021/06/16 07:00:00+00,
50,85381,12321,1894,2161,2387,1656,1417,1433,1216,157,2021/06/16 07:00:00+00,
51,85013,12437,824,1520,1870,1878,2293,2785,1119,148,2021/06/16 07:00:00+00,
52,85396,15452,1889,4498,2988,1926,1751,1120,1078,202,2021/06/16 07:00:00+00,
53,85298,19647,2209,3236,2866,3918,3417,1276,2160,565,2021/06/16 07:00:00+00,
54,85374,24980,9195,6942,3133,1821,1345,1188,1207,149,2021/06/16 07:00:00+00,
55,85086,18259,2597,3756,3655,3021,1965,1094,1810,361,2021/06/16 07:00:00+00,
56,85208,15703,3708,3609,2588,1826,1422,1310,1091,149,2021/06/16 07:00:00+00,
57,85024,12394,861,1555,2136,2048,2208,2178,1185,223,2021/06/16 07:00:00+00,
58,85260,23218,3555,4048,4062,3445,2907,2755,2003,443,2021/06/16 07:00:00+00,
59,85304,11577,1380,2184,2252,1654,1435,1297,1205,170,2021/06/16 07:00:00+00,
60,85014,13021,953,1613,2005,1928,2341,2897,1139,145,2021/06/16 07:00:00+00,
61,85020,17831,2484,3047,3239,2688,2522,2269,1350,232,2021/06/16 07:00:00+00,
62,85395,20404,4013,4993,3075,2669,2379,1376,1562,337,2021/06/16 07:00:00+00,
63,85388,11485,960,1823,1889,2181,1788,1039,1532,273,2021/06/16 07:00:00+00,
64,85297,15225,987,1622,2073,3233,3149,1514,2145,502,2021/06/16 07:00:00+00,
65,85006,9694,459,1080,1568,1577,1812,2108,986,104,2021/06/16 07:00:00+00,
66,85206,18589,4982,4212,2862,1629,1539,1998,1207,160,2021/06/16 07:00:00+00,
67,85019,8992,595,950,1618,1638,1362,1273,1346,210,2021/06/16 07:00:00+00,
68,85306,9287,1160,1599,1798,1316,1145,1258,904,107,2021/06/16 07:00:00+00,
69,85213,16141,2360,3269,2879,2039,2049,1804,1503,238,2021/06/16 07:00:00+00,
70,85340,15874,1624,2351,2723,2974,2337,1532,1947,386,2021/06/16 07:00:00+00,
71,85018,21637,2167,2965,3723,3505,3674,3379,1833,391,2021/06/16 07:00:00+00,
72,85335,11615,965,1704,1892,1930,1834,1582,1490,218,2021/06/16 07:00:00+00,
73,85209,21829,5517,4739,3054,2487,2134,2045,1607,246,2021/06/16 07:00:00+00,
74,85257,15556,2067,2238,2523,1897,2093,3273,1313,152,2021/06/16 07:00:00+00,
75,85205,21438,4659,5346,4096,2102,1981,1815,1250,189,2021/06/16 07:00:00+00,
76,85254,28367,3551,5049,5257,4217,4164,3061,2498,570,2021/06/16 07:00:00+00,
77,85382,21444,4549,4034,3437,2829,2338,2020,1922,315,2021/06/16 07:00:00+00,
78,85048,20490,1405,2778,4533,3576,2833,2227,2562,576,2021/06/16 07:00:00+00,
79,85203,13038,1294,1935,2349,1812,2052,1937,1439,220,2021/06/16 07:00:00+00,
80,85040,11349,706,1320,1939,1891,1852,2070,1393,178,2021/06/16 07:00:00+00,
81,85044,21932,2219,3549,4150,3251,3194,3008,2113,448,2021/06/16 07:00:00+00,
82,85023,14564,1564,2213,2590,2100,2359,2117,1351,270,2021/06/16 07:00:00+00,
83,85053,10655,1077,1763,1956,1645,1464,1526,1078,146,2021/06/16 07:00:00+00,
84,85353,15158,695,1373,2319,2711,2905,2524,2277,354,2021/06/16 07:00:00+00,
85,85207,22772,3322,4918,5193,3301,2109,1767,1828,334,2021/06/16 07:00:00+00,
86,85031,10081,601,1096,1740,1830,1531,1379,1677,227,2021/06/16 07:00:00+00,
87,85286,25383,1204,2435,3804,5260,5133,3264,3405,878,2021/06/16 07:00:00+00,
88,85043,12073,476,1043,1853,2338,2241,1990,1853,279,2021/06/16 07:00:00+00,
89,85233,18867,1386,2635,3601,3018,2985,2873,1994,375,2021/06/16 07:00:00+00,
90,85303,12315,667,1499,2195,2256,1897,1741,1772,288,2021/06/16 07:00:00+00,
91,85383,33218,3179,6135,6138,5877,5175,2679,3220,815,2021/06/16 07:00:00+00,
92,85339,19403,994,2064,3156,3736,3588,2769,2593,503,2021/06/16 07:00:00+00,
93,85295,21689,1051,1880,3090,4505,4241,3189,3111,622,2021/06/16 07:00:00+00,
94,85302,15408,1920,2517,2706,2358,2033,2034,1623,217,2021/06/16 07:00:00+00,
95,85212,20743,1445,2967,3390,3650,3755,2599,2467,470,2021/06/16 07:00:00+00,
96,85226,22896,1473,2719,4354,3557,3707,3821,2701,564,2021/06/16 07:00:00+00,
97,85392,15703,1067,2051,2747,2812,2375,2185,2120,346,2021/06/16 07:00:00+00,
98,85296,21655,1533,2265,3590,3950,4053,3037,2719,508,2021/06/16 07:00:00+00,
99,85016,20492,1933,2728,3278,2877,3327,4459,1688,202,2021/06/16 07:00:00+00,
100,85021,16451,2055,2305,2841,2513,2639,2115,1670,313,2021/06/16 07:00:00+00,
101,85379,18211,1415,2629,2791,3547,3009,2017,2360,443,2021/06/16 07:00:00+00,
102,85015,14831,1079,1771,2533,2414,2568,2644,1589,233,2021/06/16 07:00:00+00,
103,85051,15539,1326,1902,2768,2709,2414,2227,1893,300,2021/06/16 07:00:00+00,
104,85017,12026,633,1152,1899,2270,1879,1752,2225,216,2021/06/16 07:00:00+00,
105,85029,16649,1849,2362,3102,2590,2407,2332,1733,274,2021/06/16 07:00:00+00,
106,85042,19055,1274,2535,3545,3202,2990,3018,2146,345,2021/06/16 07:00:00+00,
107,85027,15188,1108,2137,2574,2244,2713,2893,1333,186,2021/06/16 07:00:00+00,
108,85202,16542,1437,2363,2576,2336,2626,3210,1752,242,2021/06/16 07:00:00+00,
109,85210,14303,898,1827,2489,2170,2327,2704,1689,199,2021/06/16 07:00:00+00,
110,85323,15803,828,1705,2642,2802,2753,2512,2189,372,2021/06/16 07:00:00+00,
111,85022,22726,2515,4010,4286,3183,3117,3374,1942,299,2021/06/16 07:00:00+00,
112,85224,23567,2064,3240,4111,3569,3843,4028,2310,402,2021/06/16 07:00:00+00,
113,85283,22059,1987,3079,3265,2985,3651,4336,2421,335,2021/06/16 07:00:00+00,
114,85251,21865,2854,2981,3391,2710,3035,4787,1927,180,2021/06/16 07:00:00+00,
115,85234,22496,1883,3103,4151,3812,3490,2876,2716,465,2021/06/16 07:00:00+00,
116,85338,26960,2144,4661,5011,4435,4037,3178,2945,549,2021/06/16 07:00:00+00,
117,85201,18875,1829,2347,3072,2779,2821,3483,2276,268,2021/06/16 07:00:00+00,
118,85037,18066,872,1766,2971,3387,3032,2917,2733,388,2021/06/16 07:00:00+00,
119,85035,15542,774,1496,2492,2892,2497,2529,2481,381,2021/06/16 07:00:00+00,
120,85041,23834,1477,2730,4162,4191,4110,3590,3007,567,2021/06/16 07:00:00+00,
121,85308,31307,3263,5311,5982,4557,3903,4561,3279,451,2021/06/16 07:00:00+00,
122,85345,23212,2386,3840,4555,3529,3191,3000,2359,352,2021/06/16 07:00:00+00,
123,85033,18048,987,1655,3109,3430,2829,2755,2843,440,2021/06/16 07:00:00+00,
124,85009,16553,983,1815,2891,3074,2596,2436,2391,367,2021/06/16 07:00:00+00,
125,85008,21527,966,1907,3350,3579,3795,4908,2682,340,2021/06/16 07:00:00+00,
126,85204,21557,1843,3073,3771,3397,3313,3387,2442,331,2021/06/16 07:00:00+00,
127,85032,30374,2950,4596,5328,4601,4962,4702,2745,490,2021/06/16 07:00:00+00,
128,85326,24514,1814,3599,4118,4318,4020,3406,2781,458,2021/06/16 07:00:00+00,
129,85301,18668,1475,2300,3424,3244,2832,2591,2423,379,2021/06/16 07:00:00+00,
130,85282,25833,2830,2883,3496,2898,3613,5931,3899,283,2021/06/16 07:00:00+00,
131,85225,31438,2092,3964,5614,5288,5135,5172,3596,577,2021/06/16 07:00:00+00,
132,85281,29901,955,1674,2418,2237,3229,9138,10070,180,2021/06/16 07:00:00+00,
133,85248,26028,7340,6069,3792,3058,2352,1329,1633,455,2021/06/16 07:00:00+00,
401,85190,,,,,,,,,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
402,85333,,,,,,,,,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
403,85139,3,0,,0,0,0,,0,0,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
404,85343,102,17,17,16,17,16,12,,0,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
405,85377,2670,821,939,527,146,72,84,72,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
406,85263,3170,982,1303,708,76,27,36,31,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
407,85322,234,34,43,55,27,26,30,15,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
408,85320,656,56,62,86,58,96,219,79,0,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
409,85264,708,44,109,149,107,124,89,75,11,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
410,85342,495,114,159,80,50,37,25,26,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
411,85375,23018,11367,8274,2524,395,175,154,111,18,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
412,85351,22127,9819,8111,3265,472,197,177,82,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
413,85337,998,105,207,184,143,143,126,76,14,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
414,85262,10273,1917,3434,2687,1021,376,380,393,65,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
415,85266,8763,2158,2588,1846,945,341,257,518,110,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
416,85363,2765,477,422,487,396,342,290,307,44,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
417,85045,5068,307,599,1145,1078,620,440,700,179,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
418,85361,2083,262,524,489,287,187,138,167,29,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
419,85390,4108,1272,1424,768,261,145,118,111,,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
420,85256,2272,117,262,400,334,413,381,285,80,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
421,85378,3964,850,1003,642,436,385,327,283,38,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
422,85087,3580,440,870,731,564,391,201,309,74,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
423,85373,11178,4328,3447,1513,632,517,352,324,65,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
424,85034,2396,139,319,358,325,353,564,302,36,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
425,85354,2087,181,405,431,360,239,198,223,50,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
426,85253,12224,2122,2488,2528,1651,1026,926,1218,265,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
427,85387,8756,2357,2704,1326,790,606,553,360,60,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
428,85012,6548,491,773,886,993,1340,1457,544,64,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
429,85355,4960,356,831,972,919,753,440,601,88,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
430,85268,15407,3680,4541,3383,1536,814,611,729,113,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
431,85215,10073,2586,2633,1937,950,691,652,516,108,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
432,85028,12379,1804,2364,2366,1805,1698,1174,942,226,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
433,85004,5745,266,469,677,687,951,1704,957,34,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
434,85003,5177,283,736,956,812,855,1073,412,50,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
435,85284,12547,1105,2271,2489,1890,1729,1359,1370,334,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
436,85258,17959,4086,4127,3169,2080,1704,1411,1155,227,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
437,85250,10640,1922,2023,1867,1260,1283,1457,665,163,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
438,85259,15262,2134,3146,3266,2211,1444,1171,1535,355,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
439,85083,9914,663,1384,1817,2132,1628,771,1205,314,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
440,85007,7101,479,876,1280,1091,1208,1228,823,116,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
441,85054,5283,489,795,825,691,755,1253,426,49,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
442,85307,3581,222,460,627,638,548,571,453,62,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
443,85331,17017,2242,3753,3863,2809,1698,922,1439,291,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
444,85310,9328,892,1622,2080,1514,1205,896,954,165,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
445,85305,7293,549,947,1252,1237,1053,1165,950,140,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
446,85249,26827,3340,3852,4079,5635,3936,1554,3466,965,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
447,85255,30869,5404,6166,6458,4797,2739,2051,2717,537,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
448,85050,18856,2262,2412,2880,3433,3422,2018,1872,557,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
449,85085,13552,803,1620,2103,2476,2825,2029,1306,390,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
450,85381,12454,1902,2164,2407,1665,1446,1456,1243,171,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
451,85013,12533,829,1524,1891,1899,2302,2809,1129,150,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
452,85396,15615,1899,4504,2997,1939,1787,1139,1131,219,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
453,85298,19828,2216,3248,2875,3951,3420,1287,2217,614,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
454,85374,25131,9215,6941,3153,1837,1361,1216,1246,162,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
455,85086,18419,2615,3771,3676,3044,1976,1108,1858,371,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
456,85208,15888,3726,3611,2601,1859,1451,1337,1132,171,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
457,85024,12539,864,1565,2152,2069,2231,2214,1206,238,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
458,85260,23401,3569,4058,4078,3477,2932,2787,2040,460,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
459,85304,11745,1384,2200,2270,1679,1458,1331,1229,194,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
460,85014,13188,958,1621,2014,1952,2366,2938,1185,154,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
461,85020,18007,2490,3061,3258,2705,2560,2297,1385,251,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
462,85395,20608,4031,5000,3091,2692,2398,1404,1623,369,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
463,85388,11660,964,1831,1904,2212,1809,1058,1579,303,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
464,85297,15432,988,1628,2087,3272,3185,1525,2209,538,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
465,85006,9922,463,1089,1584,1624,1842,2146,1040,134,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
466,85206,18692,4984,4209,2865,1640,1563,2027,1227,177,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
467,85019,9282,601,950,1644,1677,1413,1309,1445,243,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
468,85306,9402,1163,1609,1811,1334,1163,1272,937,113,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
469,85213,16323,2366,3281,2899,2057,2073,1821,1561,265,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
470,85340,16098,1629,2361,2744,2996,2377,1558,2012,421,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
471,85018,21824,2172,2985,3742,3537,3699,3405,1868,416,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
472,85335,11841,969,1721,1903,1959,1876,1611,1553,249,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
473,85209,22025,5538,4741,3066,2512,2168,2074,1665,261,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
474,85257,15694,2074,2239,2541,1911,2128,3310,1333,158,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
475,85205,21626,4665,5387,4112,2126,2005,1839,1287,205,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
476,85254,28593,3564,5062,5275,4256,4200,3083,2561,592,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
477,85382,21639,4564,4054,3441,2844,2368,2052,1973,343,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
478,85048,20648,1411,2791,4539,3593,2861,2240,2605,608,2021/06/23 07:00:16+00,2021/06/23 20:39:17+00
