Project.Name,UNIT,SEARCH.AREA,Time,Date,EASTING,NORTHING,MolluskCode,ScientificName,Type,CommonName,Count,Year,Month
Nehalem,31-1,SA1,2011-10-28 15:00:00,2011-10-28,492073.0,5080757.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,10
Nehalem,31-1,SA10,2011-10-28 16:45:00,2011-10-28,492064.0,5080488.0,ARCO,Ariolimax columbiana,Slug,Banana slug,1,2011,10
Nehalem,31-1,SA10,2011-10-28 16:45:00,2011-10-28,492064.0,5080488.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,10
Nehalem,31-1,SA12,2011-10-27 17:45:00,2011-10-27,492186.0,5080244.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,10
Nehalem,31-1,SA13,2011-10-28 08:00:00,2011-10-28,492265.0,508029.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,3,2011,10
Nehalem,31-1,SA14,2011-10-27 16:30:00,2011-10-27,492152.0,508008.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,10
Nehalem,31-1,SA14,2011-10-27 16:30:00,2011-10-27,492152.0,508008.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,2,2011,10
Nehalem,31-1,SA2,2011-10-28 14:15:00,2011-10-28,492162.0,5080813.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,3,2011,10
Nehalem,31-1,SA7,2011-10-28 16:00:00,2011-10-28,492269.0,5080545.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,2,2011,10
Nehalem,31-1,SA7,2011-10-28 16:00:00,2011-10-28,492269.0,5080545.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,10
Nehalem,31-1,SA8,2011-10-28 10:15:00,2011-10-28,492029.0,5080613.0,HAVA,Haplotrema vancouverense,Snail,Robust lancetooth snail,1,2011,10
Nehalem,31-1,SA8,2011-10-28 10:15:00,2011-10-28,492029.0,5080613.0,VECO,Vespericola columbianus,Snail,Northwest Hesperian snail,1,2011,10
Nehalem,31-1,SA9,2011-10-28 09:15:00,2011-10-28,492229.0,5080402.0,ANSP,Ancotrema sportella,Snail,Beaded lancetooth snail,1,2011,10
Nehalem,31-1,SA9,2011-10-28 09:15:00,2011-10-28,492229.0,5080402.0,HAsp,Haplotrema sp.,Snail,Unknown member of Haplotrema genus,1,2011,10
